Ημερομηνία;Ενέργεια;Πιστοποιημένη
01/10/2023 00:15;0;Όχι
01/10/2023 00:30;0;Όχι
01/10/2023 00:45;0;Όχι
01/10/2023 01:00;0;Όχι
01/10/2023 01:15;0;Όχι
01/10/2023 01:30;0;Όχι
01/10/2023 01:45;0;Όχι
01/10/2023 02:00;0;Όχι
01/10/2023 02:15;0;Όχι
01/10/2023 02:30;0;Όχι
01/10/2023 02:45;0;Όχι
01/10/2023 03:00;0;Όχι
01/10/2023 03:15;0;Όχι
01/10/2023 03:30;0;Όχι
01/10/2023 03:45;0;Όχι
01/10/2023 04:00;0;Όχι
01/10/2023 04:15;0;Όχι
01/10/2023 04:30;0;Όχι
01/10/2023 04:45;0;Όχι
01/10/2023 05:00;0;Όχι
01/10/2023 05:15;0;Όχι
01/10/2023 05:30;0;Όχι
01/10/2023 05:45;0;Όχι
01/10/2023 06:00;0;Όχι
01/10/2023 06:15;0;Όχι
01/10/2023 06:30;0;Όχι
01/10/2023 06:45;0;Όχι
01/10/2023 07:00;0;Όχι
01/10/2023 07:15;0;Όχι
01/10/2023 07:30;0;Όχι
01/10/2023 07:45;0,004;Όχι
01/10/2023 08:00;0,028;Όχι
01/10/2023 08:15;0,085;Όχι
01/10/2023 08:30;0,156;Όχι
01/10/2023 08:45;0,237;Όχι
01/10/2023 09:00;0,328;Όχι
01/10/2023 09:15;0,426;Όχι
01/10/2023 09:30;0,521;Όχι
01/10/2023 09:45;0,615;Όχι
01/10/2023 10:00;0,708;Όχι
01/10/2023 10:15;0,714;Όχι
01/10/2023 10:30;0,876;Όχι
01/10/2023 10:45;0,949;Όχι
01/10/2023 11:00;1,012;Όχι
01/10/2023 11:15;1,073;Όχι
01/10/2023 11:30;1,126;Όχι
01/10/2023 11:45;1,175;Όχι
01/10/2023 12:00;1,216;Όχι
01/10/2023 12:15;1,247;Όχι
01/10/2023 12:30;1,262;Όχι
01/10/2023 12:45;1,28;Όχι
01/10/2023 13:00;1,289;Όχι
01/10/2023 13:15;1,29;Όχι
01/10/2023 13:30;1,292;Όχι
01/10/2023 13:45;1,285;Όχι
